index,sentence,year,label,pred_labels,Matches,,,,
263,"These measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to support the economy until the recovery is complete.",2022,0,0,1,,,,
782,Surveys indicated that households’ expectations of inflation over the next year were little changed in February while households’ and professional forecasters’ longer-term inflation expectations edged lower.,2000,2,2,1,,,,
715,"The European Central Bank (ECB) began operating on June 1, 1998, and assumed responsibility for monetary policy in the euro area on January 1, 1999.",2003,2,2,1,,,,
280,"We have a three-part baseline projection, which involves increasing growth that’s picking up over time as fiscal drag is reduced, continuing gains in the labor market, and inflation moving back towards objective.",2020,2,2,1,,,,
1012,"Two noted the possibility that sustained high levels of long-term unemployment could result in higher structural unemployment, an outcome that might be forestalled by increased aggregate demand.",2015,0,0,1,,,,
369,"If this policy succeeds ex post, inflation expectations become anchored at the new lower level of inflation, and policy can, then, respond to demand shocks by adjusting real rates pro-cyclically, the opposite of what is required when initial inflation is too high and inflation expectations are not anchored.13 Inflation will also be pro-cyclical with well-anchored inflation expectations if demand shocks dominate and inflation expectations remain anchored.",2019,2,2,1,,,,
385,"In addition to directly affecting longer-term interest rates, changes to the balance sheet could serve to reinforce policy communication associated with the short-term rate.",2021,2,2,1,,,,
562,"Mortgage rates, corporate bond rates, and other yields and asset prices moved in sympathy, with important effects on the cost of borrowing and hence, presumably, on aggregate demand.",2021,1,2,0,,,,
93,"But—so I would just say that our—that there are many things that go in, as you know, to, to setting asset prices.",2022,2,2,1,,,,
271,"For example, as table 1 shows, the collective current account surplus of the Middle East and Africa rose more than $40 billion between 1996 and 2003; it continued to swell in 2004 as oil prices increased yet further.",2004,1,2,0,,,,
637,Productivity and TechnologyLet me now turn from the overall economic outlook to productivity and technology developments.,2005,2,2,1,,,,
374,"In their consideration of the appropriate stance of monetary policy, participants concurred that the labor market was very tight and that inflation was far above the Committee's 2 percent inflation objective.",2014,1,1,1,,,,
379,"In December 1996, before my time at the Board, John Campbell of Harvard and Robert Shiller of Yale made a presentation at the Fed, in which they used dividend-price ratios and related measures to argue that the stock market was overvalued.",2020,2,2,1,,,,
908,"The review of regional economic developments by the Federal Reserve Bank presidents pointed to moderate expansion in economic activity across much of the nation, though growth was described as modest in a few regions and relatively robust in some others.",2019,2,2,1,,,,
71,"Although the unemployment rate has declined somewhat since the summer, it remains elevated.",2017,0,2,0,,,,
453,"Later in the week, however, market interest rates moved up in response to the release of the minutes of the February meeting and the mention therein of some sentiment for a larger policy tightening than had been undertaken.",2022,1,1,1,,,,
259,"Fischer, Sahay, and Vegh (2002) present evidence of a strong correlation between fiscal deficits and money creation in high-inflation economies.",1996,2,2,1,,,,
366,"In the staff forecast prepared for this meeting, the economy was seen as likely to expand at a moderate pace, supported by accommodative monetary policy and financial conditions.",1996,0,0,1,,,,
782,"The net effect could be steady, rising, or falling inflation--depending on whether productivity continues to accelerate and on how low the unemployment rate is driven in the process.",2005,2,2,1,,,,
730,"Share prices of financial firms fell especially sharply, reportedly a reflection, in part, of concerns about exposures to subprime mortgages and about the effect of a potential slowdown in merger activity on operating profits.",2003,2,2,1,,,,
915,The slowdown would reflect factors that were expected to damp the growth of overall business investment spending and a greater saturation of potential computer markets that might lead to more emphasis on replacement demand rather than the further expansion of capacity.,2000,0,0,1,,,,
333,"In particular, investors noted that the Committee attributed some of the recent increase in inflation to transitory factors, retained its earlier balance of risks assessment, and reiterated its belief that policy accommodation could be removed at a pace that would likely be measured.",2003,1,2,0,,,,
48,"Although inflation is ultimately a monetary phenomenon, it seems natural to expect, as others have argued, that these developments would have exerted some downward pressure on inflation in the United States.",2006,0,0,1,,,,
245,"The entire Committee is committed to achieving our 2 percent inflation objective over the December 16, 2015 medium term, just as we want to make sure that inflation doesn’t persist at levels above our Chair Yellen’s Press Conference FINAL 2 percent objective.",2021,0,1,0,,,,
705,"That said, our model accords the greatest roles to increased productivity growth, which has made the United States a magnet for foreign saving, and to the slump in foreign domestic demand, which has led to an excess of saving in those economies.",2007,0,2,0,,,,
772,"Strong fundamentals, including low interest rates, wide profit margins, and a high level of liquid assets, were seen as supporting expenditures on software and equipment going forward.",2002,0,2,0,,,,
725,"Several participants raised concerns regarding the longer-run effects of the pandemic, including how it could lead to a restructuring in some sectors of the economy that could slow employment growth or could accelerate technological disruption that was likely limiting the pricing power of firms.",2014,0,2,0,,,,
57,"Although prospects for economic activity had not deteriorated significantly since the March meeting, the outlook for growth and employment remained weak and slack in resource utilization was likely to increase.",2000,0,0,1,,,,
195,"Fiscal policy was expected to be somewhat less expansionary next year, though still an important contributor to economic growth.",2002,2,2,1,,,,
626,"Perhaps because those asset prices are important to spending, key macroeconomic indicators, such as the unemployment rate, exhibit a similar pattern.",2007,2,2,1,,,,
686,"Real GDP growth was expected to step down in 2022 and 2023 but still outpace that of potential over this period, leading to a decline in the unemployment rate to historically low levels, as monetary policy was assumed to remain highly accommodative.",2008,0,0,1,,,,
990,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial developments.",2004,2,2,1,,,,
541,"Moreover, not all measures of core inflation had accelerated; in particular, core PCE price inflation had been quite stable on a twelve-month basis for some time.",2011,1,0,0,,,,
682,"Pursuant to the Committee's instructions in March, the staff had activated its study of the possible employment of mortgage-backed securities guaranteed by the Government National Mortgage Association (Ginnie Maes) in outright System open market operations.",2005,2,2,1,,,,
88,"But you do see growth in services, so you—this pattern around the world of Chair Powell’s Press Conference FINAL weak manufacturing but growth in the far larger part of the services economy, which has led to low unemployment, good job creation, rising wages, that’s kind of the two big pieces of it that you see.",2014,1,1,1,,,,
641,"Profit margins have been running a little higher this year than last, aided importantly by strong growth in labor productivity.",2001,0,2,0,,,,
68,"Although the pace of job losses was moderating, the unusually large fraction of those who were working part time for economic reasons and the unusually low level of the average workweek pointed to only a gradual decline in the unemployment rate as the economic recovery proceeded.",2018,0,2,0,,,,
1023,"While anecdotal reports suggested that softening was confined to only a few areas, the delayed effects of the drop in stock market prices and forecasts of slower employment and income growth suggested some moderation in housing activity at some point.",2017,0,0,1,,,,
394,"In these circumstances, inflation pressures could be expected to remain subdued and some further disinflation might well occur.",2022,0,0,1,,,,
180,"By the same token, the effect of the interest rate channel on overall economic activity may be diminished by greater trade integration as changes in domestic demand are offset by induced changes in imports.",1997,2,2,1,,,,
591,"Nonfarm payroll employment increased sharply further in January and February, and the civilian unemployment rate, at 4.",2010,1,2,0,,,,
672,Persistently strong demand and increasingly supportive conditions in debt and equity markets suggested the possibility of rising inflation pressures.,2001,1,1,1,,,,
237,"However, asset purchases are not on a preset course, and the Committee's decisions about their pace will remain contingent on the Committee's outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases.",1998,2,2,1,,,,
499,"Measures of longer-term inflation expectations edged up in early January, but remained lower than they had been in all but the last few weeks of 2008.",2006,1,2,0,,,,
774,"Subsequently, investors revised down the expected policy path after the June employment report and the Chairman's semiannual monetary policy testimony.",2002,0,2,0,,,,
885,"Thus, knowing where productivity growth is headed is, in many respects, equivalent to foreseeing our economic destinies.",2003,2,2,1,,,,
537,"Moreover, it was difficult to anticipate how much the higher food and energy prices might affect inflation expectations and wage demands and thereby potentially become embedded more generally in the price structure.",2019,1,1,1,,,,
458,"Looking ahead, however, members reiterated earlier concerns that aggregate demand could continue to grow faster than potential aggregate supply, even under optimistic assumptions regarding future productivity gains.",2019,1,1,1,,,,
106,"At the same time, however, the near-term outlook for inflation had deteriorated, and the risks that underlying inflation pressures could prove to be greater than anticipated appeared to have risen.",2021,1,1,1,,,,
880,"Three Questions The first question is, ""Can the Federal Reserve best meet its statutory objectives with its existing monetary policy strategy, or should it consider strategies that aim to reverse past misses of the inflation objective?""",2007,2,2,1,,,,
815,"The unmooring of inflation expectations greatly complicated the process of making monetary policy; in particular, the Fed's loss of credibility significantly increased the cost of achieving disinflation.",1999,1,1,1,,,,
821,The U. S. international trade deficit declined somewhat in May after reaching a record high in April.,2010,2,2,1,,,,
909,"The risks to the forecast for real GDP growth and inflation were seen as tilted to the downside, reflecting recent financial developments and concerns about the foreign economic outlook, as well as the staff's assessment that neither monetary policy nor fiscal policy appeared well positioned to help the economy withstand adverse shocks.",2019,0,0,1,,,,
358,"I would like to address two aspects of the issue of underemployment of minorities: first, the implications of ignoring the potential that already exists and, second, the need to encourage young people to seek the types of education and training that will meet the demands of work in the twenty-first century.",2001,0,2,0,,,,
599,"On the other hand, the fact that productivity growth has remained solid in recent years increases confidence that a larger fraction of those productivity gains reflects longer-term developments and a smaller fraction reflects cyclical factors.",2017,0,2,0,,,,
160,I’m old enough to remember what very high inflation was like.,2012,2,2,1,,,,
504,"January 13, 2021 Full Employment in the New Monetary Policy Framework Governor Lael Brainard At the Inaugural Mike McCracken Lecture on Full Employment Sponsored by the Canadian Association for Business Economics (via webcast) Share I want to thank the Canadian Association for Business Economics for inviting me to join you today, particularly president Bonnie Lemcke and past president Armine Yalnizyan.",2004,2,2,1,,,,
246,"However, in the view of at least some members, recent developments had reduced the unwelcome prospect of substantial additional disinflation.",2014,2,1,0,,,,
587,"Now with respect to the first objective, the rationale for maximizing employment is fairly obvious.",2005,0,2,0,,,,
991,This evaluation assumed continued sluggish growth in final demand during the period immediately ahead.,2004,2,0,0,,,,
391,"In addition, coming to grips now with the outsized projected growth in entitlement spending in the early years of the next century could have a profound effect on current expectations of stability.",2000,1,2,0,,,,
185,"Certainly, if we are to remain preeminent in transforming knowledge into economic value, the U.S. system of higher education must remain the world's leader in generating scientific and technological breakthroughs and in preparing workers to meet the evolving demands for skilled labor.",2007,2,2,1,,,,
376,"In their discussion of developments in asset markets, the participants' comments focused on two related issues: the low level of long-term interest rates and the continued run-up in home prices.",2021,1,2,0,,,,
585,"Nonetheless, the risks to the forecast for real GDP growth were viewed as tilted a little to the downside, especially because the economy was not well positioned to withstand adverse shocks while the target for the federal funds rate was at its effective lower bound.",1996,0,2,0,,,,
510,Members also expressed concern about the potential for an increase in inflation expectations given highly stimulative macroeconomic policies and economic growth that seemed to be gathering momentum.,2009,1,1,1,,,,
207,"Further out, TIPS-based inflation compensation 5 to 10 years ahead edged down slightly on net.",2016,0,0,1,,,,
387,"In their discussion of the economic situation and the outlook, meeting participants viewed the information received over the intermeeting period as suggesting that economic activity had been expanding moderately despite the global economic and financial developments of recent months.",2020,2,2,1,,,,
935,The staff viewed the uncertainty around the forecast for economic activity as similar to its normal level over the past 20 years.,2021,2,2,1,,,,
95,"By getting unemployment down, we hope to bring back to work some of the people who’ve been out of work as long as they have and, in that respect, try to avoid the longer-term consequences of people being out of work for months at a time.",2017,0,2,0,,,,
319,"In general, financial markets were viewed as well positioned to support more vigorous expansion in economic activity.",2017,0,2,0,,,,
232,"Even with generous allowances for structural change, labor utilization would seem to be at a level that might eventually begin to put persistent and growing pressure on labor costs and prices.",2003,1,1,1,,,,
424,"Inflation had been subdued of late, although the recent increase in crude oil and gasoline prices would push up inflation temporarily.",2004,2,1,0,,,,
334,"However, it is not yet clear how high we will need to raise the federal funds rate and how much time will pass before we begin to see inflation moving back down in a consistent and lasting way.",2004,1,2,0,,,,
602,"Once this process is completed, however, we might expect consumer price inflation to move into better alignment with long-run expectations and thus settle in around 2 percent.",2017,2,2,1,,,,
315,"Here is where unit labor costs, or specifically the relationship between productivity growth and wage increases, would come into play.",1999,2,2,1,,,,
319,"Higher interest rates are working to temper demand and bring it into better alignment with supply, which is still constrained.",2021,1,1,1,,,,
246,"The housing sector has fully recovered from the downturn, supported in part by low mortgage interest rates.",2021,0,0,1,,,,
568,"My fellow governors and I routinely receive from our staff a translation of the term structure of Treasury yields into implied forward rates, volatility inferred from options prices, and paths for expected monetary policy action consistent with futures prices.",2021,2,2,1,,,,
200,"Consumer sentiment remains solid, and the employment picture is positive.",2019,1,2,0,,,,
709,Risks to the inflation projection also were seen as balanced.,2010,2,2,1,,,,
390,"In addition, at every policy meeting, each member of the MPC is operating with the same information from the staff, and before the quarterly meetings that precede an Inflation Report, the members have sat through a number of discussions covering all aspects of the forecast.",2000,2,2,1,,,,
339,"However, the historical record suggests that permanently lowering inflation expectations may require keeping monetary policy tight for a substantial period, resulting in considerable output and employment losses for a time.",2006,1,1,1,,,,
713,The Congressional Budget Office (CBO) estimates that federal tax increases and spending cuts will slow the pace of real gross domestic product (GDP) growth about 1-1/2 percentage points this year.3 Tight fiscal policy may also be preventing faster reductions in unemployment.,2003,0,2,0,,,,
126,"Business spending on equipment and structures was anticipated to continue to outpace the overall expansion of the economy, though the differential would tend to narrow over time in association with the gradual diminution of increases in sales and profits that was expected to be associated with moderating economic growth.",2000,2,2,1,,,,
308,"You know, it says that we will seek to—seek inflation that runs moderately above 2 percent for some time.",2019,0,0,1,,,,
278,"We have a 2 percent symmetric inflation objective, and, for a number of years now, inflation has been running under 2 percent.",2015,0,0,1,,,,
1069,"” The vote encompassed approval of the text below for inclusion in the statement to be released at 2:15 p. m. : “In these circumstances, the Committee’s predominant policy concern remains the risk that inflation will fail to moderate as expected.",2013,1,1,1,,,,
914,Treasury yields rose sharply on its release as market participants traced out the report's presumed implications for monetary policy.,1997,1,2,0,,,,
67,"As was highlighted by the Bureau of Labor Statistics, this figure likely understates the extent of unemployment; accounting for the unusually large number of workers who reported themselves as employed but absent from their jobs would raise the unemployment rate by about 3 percentage points.",2017,0,2,0,,,,
835,"These communications were, as you would expect, biased--they were all in response to decisions to raise interest rates and most often occurred when those increases came shortly before an election.",2003,1,1,1,,,,
969,"While the current episode has not yet concluded, it appears that, responding vigorously in a relatively flexible economy to the aftermath of bubbles, as traumatic as that may be, is less inhibiting to long-term growth than chronic high-inflation monetary policy.",2017,1,0,0,,,,
13,And I’ll discuss the thinking behind today’s interest rate reduction and then turn to the path forward.,2019,0,0,1,,,,
229,"Housing demand and consumer spending firmed toward the end of the year, but capital spending remained quite weak in an environment of substantial business uncertainty and pessimism.",2020,0,2,0,,,,
908,"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""",2019,1,0,0,,,,
497,"Measures of inflation compensation based on Treasury Inflation-Protected Securities (TIPS) edged up, on net, remaining close to their pre-pandemic levels.",2006,1,2,0,,,,
375,"In their discussion of considerations related to asset purchases, various participants noted that these purchases were an important part of the monetary policy toolkit and a critical aspect of the Federal Reserve's response to the economic effects of the pandemic, supporting smooth financial market functioning and accommodative financial conditions, which aided the flow of credit to households and businesses and supported the recovery.",2021,0,0,1,,,,
536,"Modern quantitative approaches to risk measurement and risk management take as their starting point historical experience with market price fluctuations, which is statistically summarized in probability distributions.",2020,2,2,1,,,,
311,"Global growth estimates continue to be marked down, and global disinflationary pressures cloud the outlook for U.S. inflation.",1998,0,2,0,,,,
1036,"While the underlying demand for residential housing continued to be robust and government outlays evidently were rising, the expansion of consumer spending seemed to have slowed, and outlays for capital spending were still very sluggish in an environment of business uncertainty and pessimism.",2006,0,0,1,,,,
42,And we were actually quite concerned that growth was not sufficient to continue to bring the unemployment rate down.,2017,0,2,0,,,,
101,"Finally, I would like to note that the Committee strives to explain its monetary policy decisions as clearly as possible, and we continue to explore ways of enhancing the clarity of our public communications.",2021,2,2,1,,,,
255,"However, other participants observed that measures of longer-term inflation compensation derived from financial instruments had remained stable of late, and that survey-based measures of longer-term inflation expectations also had not changed appreciably, on net, in recent months.",2000,2,2,1,,,,
188,Expansion of these two monetary aggregates was supported by further rapid expansion in the demand for currency and stronger inflows to retail money market funds at a time of weakness in U. S. bond and equity markets.,2004,1,2,0,,,,
912,"The run-up in mortgage rates since the latter part of June was expected to curb housing demand to a limited extent in coming months, but the outlook for housing activity remained favorable, given an overall economic performance in line with current forecasts of a robust expansion, related growth in incomes, and still relatively attractive mortgage interest rates.",1997,2,2,1,,,,
732,"Signs of an actual change in inflation were still quite tentative and anecdotal, and they did not warrant an adjustment to policy at this meeting.",2003,2,2,1,,,,
958,"When interest rates increase, prices will undoubtedly adjust to some extent--in some cases simply by rising less rapidly than they would otherwise--and debt-service obligations will move up.",2007,1,1,1,,,,
818,The October SLOOS suggested that the recent slowdown in mortgage originations for home purchases was partly attributable to weaker demand.,2002,0,0,1,,,,
117,"At this point, for me, it comes down to what the incoming data and other economic information will tell us about the outlook for inflation.",2022,2,2,1,,,,
971,"White-collar, high-skilled employment increased at a much faster rate than employment in the other categories in nearly all cases in the G-7 countries over 1979-95.",2017,2,2,1,,,,
735,The boom was fueled by a sustained acceleration of productivity and an accompanying rise in corporate profits--fundamental changes that justified a major rise in equity prices.,2021,0,2,0,,,,
189,Expectations of greater and longer-lasting slack in labor and product markets than anticipated earlier had led to downward revisions to forecasts of wage and price inflation.,2004,0,0,1,,,,
134,Committee Policy Action Committee members saw the information received over the intermeeting period as suggesting that economic activity was expanding at a moderate pace.,2022,1,2,0,,,,
792,"The remarkable coming together of technologies that we label IT has allowed us to move beyond efficiency gains in routine manual tasks to achieve new levels of productivity in routine information-processing tasks that previously depended upon other facets of human input--computing, sorting and retrieving information, and acting on pieces of information.",2007,2,2,1,,,,
679,Private nonfarm payroll employment increased appreciably on balance over September and October.,1996,1,1,1,,,,
219,"So, if we maintain a highly accommodative monetary policy for a very long time from here and the economy performs as we expect—namely, it’s strong and the risks that are out there don’t materialize—my concern will be that we will have much more tightening in labor markets than you see in these projections.",2019,0,1,0,,,,
769,The guidance indicates an expectation that it will be appropriate to maintain the current target range of the federal funds rate until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,1997,2,2,1,,,,
90,"At earlier stages of processing, the producer price index for core intermediate materials continued to decline through May, albeit at a slower pace than that seen at the end of 2008.",2016,0,0,1,,,,
759,Some survey measures of inflation expectations declined during the period.,2017,0,0,1,,,,
261,These base effects will contribute about 1 percentage point to headline inflation and about 0.7 percentage point to core inflation in April and May.,2022,2,2,1,,,,
323,"In its accompanying statement, the Committee indicated that, despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appeared solid.",1999,1,2,0,,,,
778,Survey and market measures of long-term inflation expectations did not suggest that the earlier higher inflation readings were going to persist.,1999,2,0,0,,,,
250,"First, such a development would ultimately call for an upward revision to the targets for money growth, so that the money growth targets would remain consistent with an unchanged target for the inflation rate.",2001,0,1,0,,,,
776,Such a directive would imply that any tightening should be implemented promptly if developments were perceived as pointing to rising inflation.,1999,1,1,1,,,,
546,"Moreover, the outlook for foreign economic activity also appeared a bit weaker.",2002,2,0,0,,,,
819,"The System Open Market Account Manager and the Secretary will keep the Committee informed of ongoing developments regarding the System's balance sheet that could affect the attainment over time of the Committee's objectives of maximum employment and price stability. """,2002,2,2,1,,,,
288,"In addition, some policymakers observed that the timing and magnitude of future policy adjustments would ultimately be determined by the Committee's interpretation of the incoming data on the economy and prices rather than by its current expectation of those developments.",2015,2,2,1,,,,
205,"Current Economic Situation and Outlook While the coronavirus (COVID-19) pandemic has taken a tragic human toll measured in terms of lives lost and suffering inflicted, as a direct result of the necessary public health policies put in place to mitigate and control the spread of the virus, the pandemic has also inflicted a heavy toll on the levels of activity and employment in the U.S. economy.",2020,0,2,0,,,,
98,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2009,1,2,0,,,,
773,Sub-par expansion over the next few quarters was expected to foster an appreciable further easing of pressures on resources and some moderation in core consumer price inflation.,2002,0,0,1,,,,
788,The rapid pace of investment also helped to hold down inflationary pressures by increasing the growth of productive capacity.,2007,1,2,0,,,,
569,"My general point is that inflation is much too high, and the outlook for inflation remains significantly uncertain.",2021,1,1,1,,,,
738,"Some contacts indicated that while input costs were higher, it appeared that the pass-through of these higher costs to consumer prices was limited.",2018,2,2,1,,,,
629,Participants also generally agreed that the recent data had not led them to significantly change their outlooks for the most likely rates of economic growth and inflation in coming quarters.,2004,2,2,1,,,,
103,"For example, the unemployment rate has risen by 0.3 percentage points since March, and new claims for unemployment insurance have moved somewhat higher.",2021,0,0,1,,,,
951,What does this suggest about monetary policy strategy going forward?,2022,2,2,1,,,,
198,Consider a price increase for a breakfast cereal that increases the prices of both the brand-name cereal and the corresponding lower-priced store-brand cereal but maintains a differential between them.,2019,1,2,0,,,,
508,"Members also agreed that their evaluation of progress on their objectives would take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments.",1998,2,2,1,,,,
1014,Weaker demand and significantly lower oil prices are holding down consumer price inflation.,2015,0,2,0,,,,
410,"Indeed, some expressed the concern that, with the persistence of considerable resource slack, inflation might run below mandate-consistent levels for some time.",2016,0,0,1,,,,
536,"Moreover, inflation was running at a fairly low rate and quite possibly would edge down a little further over coming quarters.",2019,0,0,1,,,,
829,"Therefore, even in the case of personal computers, where we have made such great strides in measuring quality changes, I suspect that important phenomena still may not be adequately captured by our published price indexes.",2008,2,2,1,,,,
605,One measure of the decline in recent years of the marginal cost of additions to oil availability is the downdrift in the prices of the most distant contracts for future delivery of Light Sweet crude oil.,2020,2,2,1,,,,
86,"As a result, the likely pace and extent of policy easing expected by investors increased, and yields on nominal and inflation-indexed Treasury coupon securities fell.",2013,0,0,1,,,,
530,"Moreover, anecdotal evidence suggested that most firms had little ability to raise their prices in the current economic environment.",2003,1,0,0,,,,
808,The strongest case for a link between monetary policy and changes in inflation dynamics is in the greater stability of inflation.,2021,2,2,1,,,,
140,"Conditions in the commercial paper (CP) market improved over the intermeeting period, likely reflecting recent measures taken in support of this market, greater demand from institutional investors, and the passing of year-end.",1996,0,2,0,,,,
418,"Indicators of supply and demand conditions for small business credit were generally unchanged over the past quarter, with demand appearing to remain weak.",2014,2,0,0,,,,
229,"That transition itself could help bring inflation down, because, presumably, people would spend a little less on goods while they start spending more on travel and all sorts of travel services and things like that.",2016,2,0,0,,,,
517,Members noted that they expected to maintain this target range until they were confident that the economy had weathered recent events and was on track to achieve the Committee's maximum employment and price stability goals.,1997,2,2,1,,,,
985,"With the economy at full employment and inflation far above target, we should signal that we are moving back to neutral at a fast pace based on the performance of the economy, and a 50-basis point hike would help do that.",2022,1,1,1,,,,
341,"In the Committee's discussion of current and prospective economic conditions, members focused on the disparate forces that continued to shape trends in economic activity, notably the persist- ence of considerable strength in private domestic spending and the damping influences stemming from foreign economic developments.",1997,2,2,1,,,,
